"","Row","Identifier.1.x","Identifier.2.x","Amount.x","d.13C.12C.x","d.15N.14N.y"
"1",3,"protein",NA,0.512,-25.366,5.641
"2",4,"protein",NA,0.467,-26.155,5.754
"3",5,"acetanilide",NA,0.475,-33.621,-1.168
"4",6,"acetanilide",NA,0.502,-32.829,-1.362
"5",7,"sorghum",NA,2.013,-16.375,1.468
"6",8,"sorghum",NA,2.722,-18.807,1.357
"7",9,"peach",NA,1.319,-26.796,1.592
"8",10,"peach",NA,1.415,-27.533,1.695
"9",11,"7902",NA,NA,-38.83,-1.607
"10",12,"7903",NA,NA,-38.49,-1.867
"11",13,"8039",NA,NA,-35.482,0.22
"12",14,"7091",NA,2.868,-33.916,-0.046
"13",15,"7092",NA,2.747,-33.112,0.86
"14",16,"7093",NA,2.586,-32.976,-2.295
"15",17,"7094",NA,2.279,-31.905,-3.572
"16",18,"7213",NA,3.489,-34.019,-1.912
"17",19,"7214",NA,3.258,-33.345,-1.969
"18",20,"7215",NA,3.314,-33.94,-1.784
"19",21,"7550",NA,2.509,-29.112,-3.222
"20",22,"7551",NA,2.497,-29.194,-3.774
"21",23,"7552",NA,2.355,-30.561,-2.969
"22",24,"7589",NA,2.796,-32.789,-1.838
"23",25,"7590",NA,2.391,-30.671,-1.484
"24",26,"7591",NA,2.892,-31.66,-2.44
"25",27,"7649",NA,2.194,-31.518,-4.294
"26",28,"7650",NA,3.151,-32.295,-4.185
"27",29,"7651",NA,2.706,-32.492,-4.055
"28",31,"0138",NA,2.419,-30.767,0.604
"29",32,"0142",NA,2.449,-29.469,0.758
"30",33,"143",NA,2.949,-30.925,0.115
"31",34,"144",NA,2.799,-29.012,-2.458
"32",35,"145",NA,2.418,-24.847,-1.708
"33",36,"146",NA,2.602,-29.654,-3.587
"34",37,"147",NA,2.393,-30.463,0.795
"35",38,"148",NA,2.682,-31.83,0.263
"36",39,"149",NA,2.523,-31.942,0.932
"37",40,"151",NA,3.161,-28.302,-0.664
"38",42,"protein",NA,0.442,-25.752,4.714
"39",43,"protein",NA,0.467,-25.378,5.477
"40",44,"acetanilide",NA,0.43,-32.987,-1.644
"41",45,"acetanilide",NA,0.502,-33.258,-1.66
"42",46,"sorghum",NA,2.135,-16.39,0.976
"43",47,"sorghum",NA,2.57,-16.831,0.663
"44",48,"peach",NA,1.472,-27.503,0.496
"45",49,"peach",NA,1.563,-26.644,0.315
